Time,SSI,symbol
6/21/2019,37.14,6E
6/20/2019,45.16,6E
6/19/2019,49.61,6E
6/18/2019,52.51,6E
6/17/2019,49.1,6E
6/14/2019,50.87,6E
6/13/2019,43.02,6E
6/12/2019,42.23,6E
6/11/2019,42.05,6E
6/10/2019,44.89,6E
6/7/2019,38.75,6E
6/6/2019,40.83,6E
6/5/2019,47.59,6E
6/4/2019,44.47,6E
6/3/2019,47.18,6E
5/31/2019,56.37,6E
5/30/2019,61.86,6E
5/29/2019,61.67,6E
5/28/2019,55.66,6E
5/27/2019,52.1,6E
5/24/2019,51.41,6E
5/23/2019,50.01,6E
5/22/2019,58.54,6E
5/21/2019,56.65,6E
5/20/2019,53.85,6E
5/17/2019,55.98,6E
5/16/2019,52.69,6E
5/15/2019,50.39,6E
5/14/2019,51.16,6E
5/13/2019,49.28,6E
5/10/2019,47.18,6E
5/9/2019,52.46,6E
5/8/2019,52.06,6E
5/7/2019,53.13,6E
5/6/2019,55.48,6E
5/3/2019,51.76,6E
5/2/2019,56.03,6E
5/1/2019,53.6,6E
4/30/2019,52.65,6E
4/29/2019,56.53,6E
4/26/2019,64.16,6E
4/25/2019,64.64,6E
4/24/2019,63.85,6E
4/23/2019,54.97,6E
4/22/2019,51.01,6E
4/19/2019,54.06,6E
4/18/2019,57.24,6E
4/17/2019,51.24,6E
4/16/2019,52.87,6E
4/15/2019,51.66,6E
4/12/2019,50.06,6E
4/11/2019,57.27,6E
4/10/2019,57.08,6E
4/9/2019,58.78,6E
4/8/2019,59.64,6E
4/5/2019,65.79,6E
4/4/2019,65.91,6E
4/3/2019,63.98,6E
4/2/2019,67.96,6E
4/1/2019,66.73,6E
3/29/2019,65.14,6E
3/28/2019,61.45,6E
3/27/2019,56.83,6E
3/26/2019,50.93,6E
3/25/2019,46.26,6E
3/22/2019,48.63,6E
3/21/2019,42.56,6E
3/20/2019,37.52,6E
3/19/2019,42.28,6E
3/18/2019,43.19,6E
3/15/2019,43.83,6E
3/14/2019,48.87,6E
3/13/2019,45.12,6E
3/12/2019,52.32,6E
3/11/2019,57.61,6E
3/8/2019,61.48,6E
3/7/2019,64.26,6E
3/6/2019,55.68,6E
3/5/2019,56.33,6E
3/4/2019,51.3,6E
3/1/2019,48.71,6E
2/28/2019,49.9,6E
2/27/2019,52.51,6E
2/26/2019,50.55,6E
2/25/2019,54.58,6E
2/22/2019,56.47,6E
2/21/2019,56.95,6E
2/20/2019,57.08,6E
2/19/2019,58.09,6E
2/18/2019,62.47,6E
2/15/2019,64.35,6E
2/14/2019,64.17,6E
2/13/2019,67.57,6E
2/12/2019,62.8,6E
